Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2022,13,72,La Chapelle,4,1946-1970,meublé,16.1,19.32,11.27,PARIS,7511872
2020,11,77,Belleville,3,1946-1970,meublé,21.4,25.68,14.98,PARIS,7512077
2023,1,27,Ecole-Militaire,3,1971-1990,non meublé,28.2,33.8,19.7,PARIS,7510727
2023,1,27,Ecole-Militaire,3,1946-1970,non meublé,26.9,32.3,18.8,PARIS,7510727
2022,14,45,Bel-Air,2,Apres 1990,non meublé,23.5,28.2,16.45,PARIS,7511245
2022,5,36,Rochechouart,4,Avant 1946,non meublé,20.6,24.72,14.42,PARIS,7510936
2023,11,40,Hôpital-Saint-Louis,3,1946-1970,non meublé,19.8,23.8,13.9,PARIS,7511040
2022,4,17,Saint-Victor,1,1971-1990,meublé,34.7,41.64,24.29,PARIS,7510517
2022,2,16,Notre-Dame,1,1946-1970,meublé,35.7,42.84,24.99,PARIS,7510416
2020,4,17,Saint-Victor,4,Apres 1990,non meublé,24.9,29.88,17.43,PARIS,7510517
2019,1,25,Saint-Thomas-d'Aquin,2,Apres 1990,meublé,32.9,39.5,23.0,PARIS,7510725
2023,5,37,Saint-Vincent-de-Paul,2,1971-1990,meublé,26.7,32.0,18.7,PARIS,7511037
2020,5,36,Rochechouart,4,1971-1990,meublé,24.5,29.4,17.15,PARIS,7510936
2021,13,78,Saint-Fargeau,2,1946-1970,non meublé,19.2,23.04,13.44,PARIS,7512078
2019,2,4,Place-Vendôme,1,1971-1990,meublé,31.0,37.2,21.7,PARIS,7510104
2021,9,69,Grandes-Carrières,1,Avant 1946,non meublé,27.0,32.4,18.9,PARIS,7511869
2023,4,7,Mail,1,Avant 1946,meublé,36.6,43.9,25.6,PARIS,7510207
2023,10,49,Salpêtrière,3,1946-1970,meublé,24.7,29.6,17.3,PARIS,7511349
2020,13,73,Villette,3,1971-1990,meublé,18.9,22.68,13.23,PARIS,7511973
2023,12,51,Maison-Blanche,4,1971-1990,meublé,25.0,30.0,17.5,PARIS,7511351
2020,4,8,Bonne-Nouvelle,3,Apres 1990,meublé,26.0,31.2,18.2,PARIS,7510208
2025,4,14,Saint-Gervais,1,1946-1970,non meublé,33.2,39.8,23.2,PARIS,7510414
2021,5,53,Montparnasse,1,1971-1990,meublé,30.5,36.6,21.35,PARIS,7511453
2023,10,44,Sainte-Marguerite,2,1946-1970,non meublé,22.8,27.4,16.0,PARIS,7511144
2023,5,36,Rochechouart,2,1971-1990,non meublé,23.6,28.3,16.5,PARIS,7510936
2020,11,54,Parc-de-Montsouris,1,Apres 1990,non meublé,24.1,28.92,16.87,PARIS,7511454
2022,9,69,Grandes-Carrières,3,Avant 1946,meublé,25.0,30.0,17.5,PARIS,7511869
2024,5,33,Saint-Georges,4,1971-1990,non meublé,22.0,26.4,15.4,PARIS,7510933
2019,5,2,Halles,1,Apres 1990,meublé,31.3,37.6,21.9,PARIS,7510102
2021,11,77,Belleville,3,Apres 1990,non meublé,21.4,25.68,14.98,PARIS,7512077
2020,2,22,Odeon,3,1971-1990,non meublé,22.3,26.76,15.61,PARIS,7510622
2021,13,73,Villette,3,Avant 1946,non meublé,20.6,24.72,14.42,PARIS,7511973
2021,2,5,Gaillon,3,Avant 1946,non meublé,27.5,33.0,19.25,PARIS,7510205
2022,6,66,Plaine de Monceaux,1,1946-1970,non meublé,27.5,33.0,19.25,PARIS,7511766
2022,4,11,Archives,1,Avant 1946,non meublé,32.0,38.4,22.4,PARIS,7510311
2021,3,62,Muette,2,Avant 1946,non meublé,25.5,30.6,17.85,PARIS,7511662
2019,4,14,Saint-Gervais,4,Apres 1990,meublé,27.5,33.0,19.3,PARIS,7510414
